schema_version,policy_id,literature_family,implementation_status,case_id,test_case,tree_inference,run_id,trace_nodes,tested_nodes,opened_nodes,pass_through_nodes,has_split,min_rejected_p_value,max_local_alpha,cluster_count,largest_cluster_fraction,cluster_sizes
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,treebh_multiresolution_bh,TreeBH / multiresolution tree testing,executable_analogue,sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,111,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,11,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,21,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,495,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1517,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,171,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,707,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,7,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1543,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_hard,61,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,7,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,lynch_guo_dependence_robust_by,hierarchical FDR under dependence,conservative_proxy,sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,111,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,11,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,21,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,495,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1517,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,171,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,707,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,7,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1543,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_hard,61,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,7,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,13,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,bretz_graphical_gatekeeping_recycle,graphical gatekeeping / alpha recycling,executable_analogue,sbm_moderate,60,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,cont_lowrank_pggn_shrinkage,117,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,15,1,0,0,False,,0.01,1,1.0,80
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,111,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,11,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,21,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,495,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_extreme_4c,89,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1,1,0,0,False,,0.01,1,1.0,600
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1517,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,171,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,707,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,7,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,overlap_heavy_8c_large_feat,88,weighted,graphtools_adaptive_k_tree_strategy__tree_linkage_method_weighted__r0,1543,1,0,0,False,,0.01,1,1.0,800
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,neighbor_joining,graphtools_adaptive_k_tree_strategy__tree_builder_neighbor_joining__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,average,graphtools_adaptive_k_tree_strategy__tree_linkage_method_average__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,centroid,graphtools_adaptive_k_tree_strategy__tree_linkage_method_centroid__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,complete,graphtools_adaptive_k_tree_strategy__tree_linkage_method_complete__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,median,graphtools_adaptive_k_tree_strategy__tree_linkage_method_median__r0,1,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,single,graphtools_adaptive_k_tree_strategy__tree_linkage_method_single__r0,3,1,0,0,False,,0.01,1,1.0,120
tree_literature_alpha_replay/v1,gao_selective_inference_required,selective inference for hierarchical clustering,validation_constraint,sbm_hard,61,ward,graphtools_adaptive_k_tree_strategy__tree_linkage_method_ward__r0,1,1,0,0,False,,0.01,1,1.0,120
